gene_id	gene_biotype	log2FC	qval
ANKS4B	protein_coding	2.59640797558566	5.73539988140403e-66
COL4A1	protein_coding	-1.4821665566195	9.3157591493812e-66
CAV1	protein_coding	-1.05236576587434	4.31591052001399e-65
C11orf86	protein_coding	-2.29381317633752	8.31669396928334e-65
CXCL5	protein_coding	-2.08081039007088	1.03116217273988e-64
ENSG00000261786	lncRNA	-1.26169279074181	1.16062963986021e-64
SLPI	protein_coding	2.73890281357787	1.5749256682875e-64
AKR1B1	protein_coding	-1.0379128486709	2.21747725800644e-64
SETBP1	protein_coding	2.4874930072866	6.08153326736125e-64
TSPAN13	protein_coding	1.34358087017266	1.58083268267039e-62
GLYCTK	protein_coding	2.04859297408162	5.25905438859302e-62
SERPINE2	protein_coding	-1.38185720916794	3.27304418961447e-61
KIRREL3	protein_coding	-2.70171435494702	1.10382072466131e-60
FOSL2	protein_coding	-1.17703833497521	4.80949889105169e-60
FOSB	protein_coding	2.24214371931989	7.71857451607583e-60
KLF9	protein_coding	1.30222079603057	7.32565231193676e-59
ERGIC1	protein_coding	-1.04070966961467	1.21436661589529e-57
HGD	protein_coding	1.64988894704466	2.34983270499703e-57
NPC1	protein_coding	-1.61771911493861	4.68431368528033e-56
COL11A1	protein_coding	-3.6292420092014	7.15234000915977e-55
CNTN1	protein_coding	1.48458206240469	9.84268522097071e-55
CAVIN1	protein_coding	-1.58117721490625	4.59787586541338e-54
SLIT3	protein_coding	-1.75798511362579	1.08585043317121e-53
MSTRG.27898	NA	1.52721060195642	8.18381602068845e-53
LGALS2	protein_coding	3.2332613150088	7.15348524695569e-52
MTUS1	protein_coding	1.38773975747836	7.25236404777997e-52
MSTRG.22325	NA	2.08937019147952	7.31223919847563e-52
LINC00707	lncRNA	-2.63763523473744	1.50846612690481e-51
DIO2	protein_coding	-3.3709549831415	2.86917661292128e-51
STEAP1	protein_coding	1.38921804197007	8.85254036262569e-51
MSTRG.18920	NA	-5.45613311831839	9.03718325639202e-51
TP53I3	protein_coding	-1.02669427531407	9.19938975363995e-51
ABCA1	protein_coding	-2.64770138902219	2.55733275208415e-50
TGFBI	protein_coding	-1.52237350439311	2.22106712217781e-49
ETS1	protein_coding	-1.26668148728736	3.12866215092e-49
MSTRG.26269	NA	-1.63291021863613	3.5375206216533e-49
FHL2	protein_coding	-1.19796468366411	5.93983482188211e-48
MYBL1	protein_coding	-1.61915457344527	1.36387052238565e-46
COL4A2	protein_coding	-1.05666463683959	1.91299099389641e-46
MSTRG.13982	NA	-1.57565703478211	2.60758968512697e-46
ABLIM3	protein_coding	-2.96829403620732	5.15758997446316e-46
CCN5	protein_coding	-3.09824205208402	8.5591854951838e-46
ALX4	protein_coding	-2.79308498926027	9.1612875292165e-46
EFEMP1	protein_coding	-3.55666483803439	1.18387409849078e-45
MSTRG.26519	NA	1.97140602462606	2.77346926452462e-45
IGFBP3	protein_coding	-1.92933299665711	3.36687119576323e-45
BCL2A1	protein_coding	-2.99950178540849	4.7215267687738e-45
BMPR1B	protein_coding	1.45338233914891	1.13339777043025e-43
CDH17	protein_coding	2.29514488645493	1.27147739952242e-43
AHNAK	protein_coding	-1.27729174813434	1.7445835819391e-43
HES1	protein_coding	2.12611525444853	4.71970083112952e-43
SLC16A2	protein_coding	-1.38251452480921	8.54604152602719e-43
DOK4	protein_coding	1.33904020034192	1.22891549677056e-42
ANTXR1	protein_coding	-3.6464909767728	1.53549588153751e-42
MSTRG.16004	NA	2.42056095453858	1.66523703079462e-42
DDX10	protein_coding	-1.05731144420162	1.78672150897536e-42
STAMBPL1	protein_coding	-1.48560791148941	2.87371764116222e-42
HERC4	protein_coding	-1.41001196142364	1.93091284871172e-41
MSTRG.1810	NA	2.1028508853757	2.27227766784709e-41
MSTRG.15152	NA	-2.67864308538061	3.05916740523754e-41
VCL	protein_coding	-1.03866787707549	1.39201761622826e-40
MSTRG.19567	NA	-1.27971562084668	2.19564109254406e-40
PREX1	protein_coding	-1.79613277900937	2.79118502238647e-40
AGR2	protein_coding	2.2754226417354	2.79986699892313e-40
NFKB2	protein_coding	-1.25819334958	4.34394450194742e-40
FSTL1	protein_coding	-2.26332965801666	7.22796604669154e-40
ZFP36	protein_coding	0.905346630612378	1.00185251584322e-39
GSDME	protein_coding	-1.18170185193432	1.3288684707806e-39
LACTB	protein_coding	-1.14875164362139	2.97030648460958e-39
MSTRG.10000	NA	-1.17891561097891	2.99712494766468e-39
ADAMTS15	protein_coding	-1.69661439669893	3.40739157622899e-39
STEAP3	protein_coding	-0.9529577690909	3.90846757687996e-39
ANXA6	protein_coding	-1.19737285085149	5.09582173429886e-39
MSTRG.22916	NA	1.30474400418268	7.22276749467274e-39
EPHB2	protein_coding	-1.5696109998084	7.31783701947454e-39
USH1C	protein_coding	2.50079787015866	1.09500337380443e-38
MSTRG.11500	NA	-2.24829286230509	1.09500337380443e-38
ATP2B1	protein_coding	0.906040633190329	1.54710740988431e-38
EPS8	protein_coding	1.07335629714029	6.263453188774e-38
EMP3	protein_coding	-0.948570062777688	1.08629830459457e-37
MSTRG.7720	NA	1.78812398704558	4.39430785426744e-37
FGA	protein_coding	2.25415176215007	4.77254668523104e-37
HTRA3	protein_coding	-1.53578955443927	4.94196134075307e-37
ADAM19	protein_coding	-1.81202783901858	5.34286801724131e-37
SH3KBP1	protein_coding	-0.853346106765769	1.23596852700925e-36
KCNH1	protein_coding	-2.44343653543828	2.41577829714326e-36
HPCAL1	protein_coding	-1.15956999810324	3.00716867712922e-36
MSTRG.18895	NA	-1.35063331642887	3.51317711686273e-36
MYL9	protein_coding	-3.43331457204632	5.08363805548089e-36
PLOD2	protein_coding	-1.01576625073288	1.66246516028786e-35
FGL1	protein_coding	2.8859842910381	1.81905445714649e-35
PYGL	protein_coding	-0.978774456764726	2.13485256244463e-35
FOXF2	protein_coding	-1.704268248162	2.53453553487005e-35
COL6A2	protein_coding	-2.32447372838891	2.56423305646852e-35
CXXC4	protein_coding	3.00422015860332	2.56423305646852e-35
TYMP	protein_coding	-2.60297548541475	3.0405553629035e-35
PALM2AKAP2	protein_coding	-1.47549279304493	3.76843571334836e-35
ANXA13	protein_coding	2.11483168716596	4.21351610968312e-35
HHEX	protein_coding	1.00468569201257	5.55297324908301e-35
ANKRD29	protein_coding	-3.28068962581048	1.16192126075443e-34
SNTB1	protein_coding	2.71059405234926	1.30066106772357e-34
METTL7B	NA	1.29136427920485	1.85060807579309e-34
SLC26A2	protein_coding	-1.9176156964465	2.05145011231575e-34
MSTRG.24424	NA	1.44747777139638	2.99437281381432e-34
PTPRJ	protein_coding	-1.53373597086218	7.46337531311928e-34
MSTRG.29884	NA	2.18840952549131	1.77353225259839e-33
MSTRG.27869	NA	2.66902750156825	2.57582012304458e-33
TPM1	protein_coding	-1.31628387607224	5.68956507942435e-33
TTC9	protein_coding	1.39688500918078	6.35266163809617e-33
KRT4	protein_coding	3.3010186582409	9.22117051560046e-33
S100A3	protein_coding	-1.20655538712517	1.10047023151167e-32
KIRREL1	protein_coding	-0.839869562983973	1.1058945405513e-32
STON2	protein_coding	2.78114378225027	1.34517429392126e-32
TRPC6	protein_coding	1.94003689922766	2.63225286138822e-32
FGB	protein_coding	1.97257900865346	2.9543006238006e-32
KCNQ5	protein_coding	-4.91543936136896	2.98689730355909e-32
PCDHAC2	protein_coding	1.95806417367222	4.43078262425108e-32
CYP1B1	protein_coding	1.53824808524689	5.54552271879504e-32
SNX6	protein_coding	-0.824368554569509	6.33374763384645e-32
RASSF9	protein_coding	1.53250948299508	6.41464767009481e-32
MSTRG.22886	NA	1.6019427500095	1.16365320693038e-31
CFH	protein_coding	2.37352811554918	3.12693462673333e-31
GPCPD1	protein_coding	1.38500966504228	4.09811558050454e-31
VIPR1	protein_coding	3.10076898695655	4.10755971265878e-31
SLC7A7	protein_coding	2.27885260536886	9.86965755225511e-31
FZD5	protein_coding	0.829638754469554	1.08130644894691e-30
ACSL4	protein_coding	-0.824628995770451	2.19089957142653e-30
ITGAV	protein_coding	-0.746293336354364	2.77884528847764e-30
MSTRG.5276	NA	0.723901346995099	4.12974838723005e-30
MSTRG.20655	NA	-3.79414732530344	5.88326559417924e-30
PPP1R15A	protein_coding	1.04457937702374	7.08470440194206e-30
ARSI	protein_coding	-2.70459809829362	2.20250543271838e-29
SPOCK1	protein_coding	-2.85239466238784	2.82016193410779e-29
RALB	protein_coding	-0.902778769555046	3.13295876473445e-29
CLMP	protein_coding	-2.31707529174552	8.04277912338099e-29
RAP1GAP	protein_coding	2.34007078997051	9.63465599323348e-29
DRAIC	lncRNA	3.03281927385235	2.00445378626602e-28
MSTRG.25495	NA	3.1125868553519	2.46913358360147e-28
SYNE1	protein_coding	-1.3460718678363	2.8166943542692e-28
TGM2	protein_coding	-1.88028666196985	3.05245281490357e-28
MSTRG.22464	NA	1.98015422833635	3.40362697450006e-28
ALS2CL	protein_coding	1.49292251291966	4.79947936155628e-28
MSTRG.23919	NA	-1.07448044208292	4.80190963379523e-28
PLEKHH2	protein_coding	2.9160406875996	5.77472447228309e-28
MARCHF4	protein_coding	-3.19139646171311	6.15322200227916e-28
MSTRG.2537	NA	-1.79769397670951	6.4375323382439e-28
MLXIPL	protein_coding	2.0297746224917	6.4862794744377e-28
UBE2L6	protein_coding	-1.75527906359699	7.99085441484612e-28
CYBRD1	protein_coding	-1.17709842033289	9.43817208049082e-28
PTPN14	protein_coding	-1.07979957499511	1.54644535744073e-27
ITPRIP	protein_coding	-0.949350369843012	1.81100560748721e-27
COBL	protein_coding	1.42980888817316	1.8543636323083e-27
RAI14	protein_coding	-1.06556717335318	1.90258678354235e-27
IGFBP6	protein_coding	-1.85466147964684	4.75545342425972e-27
PALS2	protein_coding	1.11118871646072	5.48127968250316e-27
LAMA3	protein_coding	-2.51156194697524	6.29771560147389e-27
RAB15	protein_coding	1.15175358289217	6.42861253400935e-27
MSTRG.24005	NA	0.930566454732882	6.9746347431366e-27
TAGLN	protein_coding	-1.58050896017892	7.96448812565038e-27
MSTRG.7633	NA	1.9519990535326	1.09656990016519e-26
TUBB3	protein_coding	-1.10279486575383	1.25100581102057e-26
CPLX2	protein_coding	1.65845021168967	2.78075200128194e-26
MSTRG.14783	NA	-0.982471883255312	5.65176217408907e-26
CYP3A5	protein_coding	1.94156029329095	9.00597458692827e-26
LAYN	protein_coding	-2.82348349502508	1.15628763606964e-25
MYORG	protein_coding	1.52171801912336	1.53015582524995e-25
TIPARP	protein_coding	0.757876422913254	1.89150877158611e-25
RBKS	protein_coding	-1.53958410839539	1.94121232289505e-25
MSTRG.13077	NA	-1.2108433548449	2.28576018519365e-25
HSPD1	protein_coding	-0.729683283150496	2.44646184267439e-25
STAT3	protein_coding	-0.785318027857516	2.57885985684082e-25
PLCE1	protein_coding	-0.93664883268057	2.85598726374177e-25
PPP1R3C	protein_coding	-0.99449890672804	3.50391893665289e-25
MIR23AHG	lncRNA	0.807435561363073	3.51057213712235e-25
SOX2	protein_coding	1.4879313144998	3.74749090703941e-25
FOXA3	protein_coding	1.9764353080036	4.546467145285e-25
DRAP1	protein_coding	-0.822046641246078	4.68918987609922e-25
MSTRG.3727	NA	1.55497893010246	5.00280102224296e-25
CASTOR2	protein_coding	0.883640033459243	5.03333924221489e-25
GLIPR1	protein_coding	-1.21488716950462	8.26204877265675e-25
EGFR	protein_coding	-1.32233363885074	8.75150152718505e-25
MYOCD	protein_coding	-3.76156746522019	8.98146865850135e-25
FRMD6	protein_coding	-1.63283247922115	9.49317133157902e-25
GRB7	protein_coding	1.25171999973011	9.86774997087169e-25
GLS	protein_coding	-1.04727205699279	9.86774997087169e-25
ETS2	protein_coding	-0.816974681965985	1.32014598386989e-24
MFGE8	protein_coding	-2.0913840729341	1.53301159599207e-24
MSTRG.14237	NA	0.789370502883355	2.46659035489276e-24
HR	protein_coding	1.34293097408339	2.59962499135587e-24
GDF15	protein_coding	1.76009465736286	2.76931141065174e-24
RASSF5	protein_coding	1.89132000180111	2.94184354965536e-24
MSTRG.16600	NA	1.90835442863491	2.98076797928039e-24
TGFBR2	protein_coding	0.703714085250836	3.25148282748537e-24
PLAU	protein_coding	-1.67886836323572	4.36882729623257e-24
MSTRG.17919	NA	0.835325032989755	5.30144715487695e-24
MSTRG.7414	NA	-1.15510039584515	6.16612307790194e-24
FLRT3	protein_coding	2.22095541513391	7.31268021447924e-24
HABP2	protein_coding	3.71922009864179	9.81102119476248e-24
SRI	protein_coding	-0.888541388196243	1.05481865703119e-23
PAQR5	protein_coding	-2.11344768125324	1.95953794119863e-23
CORO2A	protein_coding	2.33219109957769	2.29070151768856e-23
ELF3	protein_coding	1.5901709408294	2.46803289271723e-23
NPC2	protein_coding	-0.968854618615221	3.18635451445482e-23
NXPE3	protein_coding	-0.692623046639228	3.77424050978508e-23
BAMBI	protein_coding	2.00095702168691	4.1465877298266e-23
SLFN5	protein_coding	1.72632610773345	4.75273605979499e-23
NIPAL4	protein_coding	-1.61557337198895	5.60165430922257e-23
RFLNB	protein_coding	-0.70660835844351	6.04649719576955e-23
PEA15	protein_coding	-0.673054227503023	9.91293778434296e-23
MSTRG.12748	NA	-1.28436558546773	1.03573807848811e-22
MSTRG.7137	NA	2.07276951290558	1.12403051879826e-22
THSD1	protein_coding	-1.39395838850443	1.17997656994726e-22
FXYD2	protein_coding	3.28707563585455	1.26939110631048e-22
ANKRD2	protein_coding	-1.73573239543288	1.31897416736882e-22
SMAD2	protein_coding	-0.753372675666848	1.39427919133134e-22
CDA	protein_coding	-1.48356078431621	1.56230071059162e-22
MSTRG.16388	NA	2.15147601177687	1.61707061415382e-22
MFSD12	protein_coding	-0.869398648355007	1.6484007630611e-22
MSTRG.14818	NA	-3.5836530791272	1.76229207014781e-22
MSTRG.7619	NA	1.2530548418205	2.18017040131504e-22
DNAJA1	protein_coding	-0.633647109353191	2.37317810540463e-22
MSTRG.29637	NA	1.789886269782	2.42133220201865e-22
TMTC2	protein_coding	1.90125443729904	2.493596798962e-22
MSTRG.5100	NA	0.663268753616751	3.19790300564866e-22
KCNJ6	protein_coding	-4.04823165461804	3.33345513919451e-22
RSU1	protein_coding	-0.699280766102552	3.5397683225023e-22
EPS8L3	protein_coding	2.39148880149355	3.94865933119934e-22
TBC1D2	protein_coding	-1.50705699568319	4.07271374789441e-22
MSTRG.1557	NA	1.13746664165216	4.11828832683366e-22
IL31RA	protein_coding	-1.89098402225426	5.8199620516343e-22
RGS2	protein_coding	-1.45778792812139	7.74633825134954e-22
MSTRG.23801	NA	1.36806485658776	8.91917064108568e-22
ITGB6	protein_coding	-1.54555413326901	1.38565153700942e-21
MSTRG.24308	NA	1.74947597333113	1.49205110567237e-21
MSTRG.12494	NA	2.94721470642461	1.84725963618165e-21
BAIAP2L2	protein_coding	0.993856696697057	2.4622763035342e-21
MSTRG.12566	NA	2.7624619631626	3.22894013947395e-21
GALNT2	protein_coding	-0.664087714469551	3.44548964445683e-21
ARFGEF3	protein_coding	2.20516065833828	3.9117768208339e-21
FERMT2	protein_coding	-0.700202789782338	3.95730109385152e-21
VCAM1	protein_coding	-4.27403950384093	4.60682815354748e-21
FGF2	protein_coding	-0.984674736526932	4.68496765838857e-21
SMAGP	protein_coding	1.05282642655673	6.60365188354286e-21
GPX2	protein_coding	2.48646883418794	6.71058857904711e-21
LINC01116	lncRNA	-1.41508875114953	7.99916156231912e-21
NCMAP	protein_coding	2.09820070434479	8.09665411147847e-21
EGR1	protein_coding	1.62411069789216	8.34670447294555e-21
CST1	protein_coding	4.16786111031694	8.55317774329831e-21
JAK1	protein_coding	-0.710219169535914	8.94345279677232e-21
DUSP5	protein_coding	-1.35109554679162	1.05778023270742e-20
BUB1	protein_coding	-0.69309642263768	1.07339569241017e-20
CITED4	protein_coding	-1.58643584508013	1.12977710720077e-20
KIF13B	protein_coding	1.05025966600806	1.28556624133828e-20
CTSL	protein_coding	-0.999369696165358	1.6743243477154e-20
UPK1B	protein_coding	0.870285520056185	1.9130251530559e-20
MSTRG.16723	NA	1.30425479842009	2.00580550716172e-20
GRAMD1B	protein_coding	1.0886735121721	2.00900697546891e-20
ZYX	protein_coding	-1.10378333346544	2.13290499622369e-20
FBN2	protein_coding	-1.34197074560482	2.18010012055578e-20
ACTR3	protein_coding	-0.629054625886863	2.18798780328632e-20
CDC20	protein_coding	-0.645579655290126	2.27583651146005e-20
MSTRG.17951	NA	-1.99581844068546	2.51098965769053e-20
MSTRG.27245	NA	1.42731263031684	2.53197037498929e-20
SMARCAL1	protein_coding	-0.832597614722562	2.8062945687577e-20
EHD3	protein_coding	-0.904547606582878	3.11260572241179e-20
ADA	protein_coding	-0.847908191869776	3.11260572241179e-20
C11orf68	protein_coding	-0.809834976045904	3.12050250463936e-20
PLIN3	protein_coding	-0.677730327094867	3.30596940747659e-20
AKR1C2	protein_coding	0.680210643170999	3.3232808023337e-20
CD274	protein_coding	-2.74462386776631	3.3232808023337e-20
BIRC3	protein_coding	-0.923300027849111	3.41980644500976e-20
GOPC	protein_coding	-0.635348113212717	3.87953771263976e-20
MSTRG.18984	NA	-1.49949058038192	4.2585779463579e-20
DCDC1	protein_coding	2.13214968553297	5.92350759498919e-20
SYNGR2	protein_coding	0.588594955051873	6.10459938306111e-20
MSTRG.4723	NA	-1.45012948182179	6.57421270040094e-20
RNF43	protein_coding	3.21833029081939	6.87452712636711e-20
RAB20	protein_coding	1.76338547326566	8.64465606943911e-20
MSTRG.10031	NA	1.09893399550033	1.02284357613046e-19
SLC35G2	protein_coding	-0.928202657514849	1.05229776334686e-19
SYT12	protein_coding	-1.59478505106885	1.11400201181169e-19
CIRBP	protein_coding	0.788198809779527	1.17300323300993e-19
MSTRG.981	NA	1.80943095643272	1.27977789260617e-19
HSP90AA1	protein_coding	-0.585252388359406	1.38078764296482e-19
MIR3189	miRNA	1.57640163994277	1.44783129541527e-19
POF1B	protein_coding	1.16585610676763	1.55483530212645e-19
ADH6	protein_coding	3.45743085160468	1.77166623545146e-19
UNC5D	protein_coding	-4.18474669313469	1.88569807300275e-19
SLC23A1	protein_coding	1.42082551143524	2.11481502384807e-19
MSTRG.17296	NA	-1.00601127877758	2.20902404397677e-19
C1orf21	protein_coding	-3.14481635630862	2.2610348300495e-19
EPCAM	protein_coding	1.39555804676678	2.28659302087075e-19
RGCC	protein_coding	4.39797053576974	2.32270005683834e-19
ADAM28	protein_coding	3.82367117170765	2.55440267857389e-19
ENSG00000249007	lncRNA	5.68152449360465	3.19222747200152e-19
SOCS2	protein_coding	-1.15349565137436	3.52246637017204e-19
DOCK10	protein_coding	-1.20673731625383	3.99562878901591e-19
SQOR	protein_coding	-0.756243020649221	5.01669720939673e-19
ABTB3	protein_coding	-1.81982629827534	5.3316841735283e-19
CD68	protein_coding	-1.80580068218592	5.35499802945355e-19
PNMA2	protein_coding	-1.14502331252191	6.25195749693325e-19
CTSB	protein_coding	-0.71968111553569	6.35639285813843e-19
IGFBPL1	protein_coding	0.976363787158972	7.12119016424959e-19
MAP1B	protein_coding	-1.00221003704579	7.12590282337641e-19
RIMKLA	protein_coding	1.8145382618571	7.87209813865091e-19
PTPN13	protein_coding	-1.07071853107547	9.89432100332176e-19
PHLDB2	protein_coding	-1.1496090563238	1.08964986874715e-18
ABLIM1	protein_coding	0.805526321997072	1.10675821403603e-18
AREG	protein_coding	0.713258592817092	1.33643482521882e-18
TXNRD1	protein_coding	0.587860710795178	1.39720164416299e-18
MIR503HG	lncRNA	-1.61045375577314	1.41023309706254e-18
NCALD	protein_coding	1.82147229718338	1.42124504572036e-18
PRODH	protein_coding	2.34381297349703	1.46147809902965e-18
MT1A	protein_coding	-2.45752565147893	1.48049418814165e-18
GALNT14	protein_coding	-1.07658169740268	1.48049418814165e-18
ENSG00000290920	lncRNA	2.43743137923788	1.56581548316764e-18
PLEKHN1	protein_coding	-2.33486184538459	1.68703286654984e-18
MSTRG.24683	NA	-0.880106075553352	1.68930379955085e-18
DYNC1I2	protein_coding	-0.691184331668443	1.8206196479397e-18
MSTRG.23404	NA	-1.63212158846838	1.9606573337996e-18
TMSB4X	protein_coding	-0.625707899253152	2.11374012441287e-18
ANG	protein_coding	1.6796600562431	2.16272444708595e-18
MYPN	protein_coding	-2.80727789931771	2.36145978704749e-18
NHERF2	protein_coding	1.59313707546455	2.47449218298373e-18
DSE	protein_coding	-1.11398815469349	2.55238299813143e-18
SLC2A13	protein_coding	1.11363950438127	2.70304094249205e-18
ALDH3A1	protein_coding	1.38354159384055	3.40974349241429e-18
MSTRG.6348	NA	0.681862842260908	3.44047042386493e-18
MSTRG.11027	NA	0.746788697976056	3.67044094501588e-18
CCT4	protein_coding	-0.549763152378633	3.77993765650198e-18
PLAAT4	protein_coding	1.45469800252114	3.94158513197483e-18
THRA	protein_coding	0.784632950674941	3.94158513197483e-18
POU2AF3	protein_coding	2.17511312605366	4.0521658612168e-18
MSTRG.18608	NA	-0.6930152386785	4.06539281666497e-18
MSTRG.22036	NA	1.6465910167627	4.27096303611408e-18
MSTRG.9869	NA	2.25427403434922	4.63992848829881e-18
FAM98A	protein_coding	-0.574819245995792	4.66140745073499e-18
MSTRG.30487	NA	1.03216276864118	4.66140745073499e-18
POLR1G	protein_coding	-0.718896936254063	4.96194792471806e-18
MSTRG.24199	NA	2.45420945178068	5.02042259356042e-18
PCSK6	protein_coding	0.880545434824733	5.10503515699593e-18
CCPG1	protein_coding	0.900955335426131	5.15352692028534e-18
SPRY4	protein_coding	0.984066655188668	5.21418815561453e-18
MSTRG.14864	NA	4.1498512987176	5.27994873169393e-18
ITGB3	protein_coding	-2.07765607225552	5.28942882370875e-18
ANK3	protein_coding	2.32799042685263	5.91788370449382e-18
MMD	protein_coding	1.33055246074427	6.16225729642094e-18
RIN1	protein_coding	-1.49777737146402	6.77601969418266e-18
MSTRG.29365	NA	-2.00211674538953	6.91297709568167e-18
MSTRG.1696	NA	-0.899109416399382	7.1187910946503e-18
MSTRG.27169	NA	2.34259510179486	7.29496692458103e-18
MSTRG.1222	NA	1.42236488720758	7.474796411961e-18
MSTRG.25634	NA	1.58493640793465	7.66001485866055e-18
ANXA8	protein_coding	-1.61004263690868	7.67766911306175e-18
MSTRG.10231	NA	-5.2981649693758	7.95100674472815e-18
FASTKD2	protein_coding	-0.616138391368688	8.32063864413106e-18
USP53	protein_coding	1.2194135056248	8.88307076874992e-18
F10	protein_coding	4.09503115876385	1.02287902973199e-17
SOCS3	protein_coding	-0.94037439170432	1.06822852544345e-17
RPL31	protein_coding	-0.564437735240076	1.08101343512725e-17
BMAL2	protein_coding	-1.14305357122125	1.08171507932503e-17
DNAJB4	protein_coding	-0.767058480404045	1.11213757688044e-17
NGF	protein_coding	-4.08589009024279	1.13372449310092e-17
IMPDH2	protein_coding	-0.544837203638712	1.16351595710952e-17
NABP1	protein_coding	-1.30249731006866	1.19812124957356e-17
SEMA3E	protein_coding	-1.44488216726457	1.25274776812543e-17
SPDEF	protein_coding	1.65602975945894	1.31765864037045e-17
LRP8	protein_coding	0.65109621647496	1.40769332740728e-17
PBLD	protein_coding	0.980801490350705	1.65443511069568e-17
BZW1P2	processed_pseudogene	-0.731069966599135	1.78531522907934e-17
MSTRG.3265	NA	0.958554634184073	1.82972897470419e-17
COL6A1	protein_coding	-1.54471938480333	1.88272111457888e-17
FLNB	protein_coding	-0.771814290321446	1.90724810729936e-17
SLFN13	protein_coding	0.951179434343041	2.05889496516938e-17
DSCAML1	protein_coding	2.78932951573556	2.16127513377789e-17
MSTRG.26440	NA	0.867852358566742	2.22113420438747e-17
CPNE7	protein_coding	-1.22821548489641	2.44633444844324e-17
FJX1	protein_coding	-1.09843962784897	2.45733724950932e-17
SMOC1	protein_coding	-1.54275048740396	2.58351668958505e-17
NPTX1	protein_coding	-4.28047273484259	2.87365545360026e-17
BMP4	protein_coding	2.59039496594627	2.90442210476112e-17
GOLM1	protein_coding	-1.06774633097813	2.98337097539281e-17
CCNYL1	protein_coding	-0.892405668572264	3.11214500300777e-17
NECTIN1	protein_coding	1.11484239508162	3.52025233927971e-17
C12orf75	protein_coding	0.554856329310065	3.69350088969755e-17
MSTRG.24107	NA	0.747991272111077	4.07757875988011e-17
EDA2R	protein_coding	-0.913104889159138	4.14099109020709e-17
TCEAL9	protein_coding	-0.59910794192911	4.20685147256088e-17
EVA1A	protein_coding	-2.86031421719145	4.2693952770024e-17
FKBP5	protein_coding	0.595384911824446	4.50800099041498e-17
ITGB1	protein_coding	-0.64339839371645	4.78582952422534e-17
ENSG00000269514	lncRNA	0.938448317197537	4.79200332680162e-17
CDCP1	protein_coding	-1.60182760599415	5.18536414891672e-17
LHFPL6	protein_coding	-4.35966095434249	5.91298818904094e-17
MSTRG.26073	NA	0.833324308868341	6.38208702818908e-17
MSTRG.3971	NA	0.800681721598987	6.61517523884124e-17
IFI16	protein_coding	-2.34932775441089	7.86327211857693e-17
LINC02331	lncRNA	1.86989456928592	8.09505856220616e-17
MSTRG.7267	NA	0.847130084779204	8.90616001214806e-17
MSTRG.9656	NA	-1.18555779316168	9.10171107737253e-17
MYOF	protein_coding	-0.642909423934523	9.21971410113438e-17
SCNN1A	protein_coding	1.24917626283429	9.22437899009631e-17
MSTRG.19209	NA	4.83312531073276	9.98244963146355e-17
BZW1	protein_coding	-0.665607036450286	1.20576448114888e-16
MSTRG.8181	NA	0.994503406247321	1.22981584675329e-16
MSTRG.7723	NA	-0.565301810708746	1.23255007498946e-16
MSTRG.18233	NA	-1.27769247977887	1.26804737870155e-16
TRAF1	protein_coding	-1.09673406789314	1.28048438621611e-16
RASSF7	protein_coding	1.17685254980416	1.28669688441378e-16
ARRB1	protein_coding	2.34340976912914	1.30607752559083e-16
NRXN3	protein_coding	-3.80006979357012	1.70619963226088e-16
ZFAND5	protein_coding	0.609261191692874	1.90484615058344e-16
